CEEB,College Name,City,State
INTL,FRANKLIN UNIV SWITZERLAND,LUGANO,SWITZERLAND
INTL,LES ROCHES GILON INSTITUTE,CLARENS,SWITZERLAND
INTL,WEBSTER UNIV-GENEVA,GENEVA,SWITZERLAND
INTL,CARDIFF UNIVERSITY,CARDIFF,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,DE MONTFORT UNIVERSITY,LEICESTER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,DURHAM UNIVERSITY,DURHAM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,GOLDSMITHS-UNIV OF LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,HERIOT-WATT UNIVERSITY,EDINBURGH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,HULT INTRL BUSINESS SCHOOL,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,KINGS COLLEGE LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,KINGSTON UNIVERSITY LONDON,KINGSTON THAMES,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,LEEDS BECKETT UNIVERSITY,LEEDS,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,LONDON METROPOLITAN UNIVERSITY,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,LOUGHBOROUGH UNIVERSITY,LEICESTERSHIRE,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,MIDDLESEX UNIVERSITY,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,NEWCASTLE UNIVERSITY,NEWCASTLE TYNE,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,NOTTINGHAM TRENT UNIVERSITY,NOTTINGHAM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,QUEEN MARGARET U C,EDINBURGH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,QUEEN MARY-UNIV OF LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,QUEENS UNIVERSITY BELFAST,BELFAST,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,REGENTS AMERICAN C,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,ST MARYS UNIV TWICKENHAM,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIV OF EDINBURGH,EDINBURGH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIV OF THE WEST OF ENGLAND,BRISTOL,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
